packet_rate,byte_entropy,protocol_tcp_ratio,dns_query_freq,unique_dest_ips,avg_connection_duration,port_entropy,bandwidth_mbps,new_ext_conns,tcp_flag_anomaly
125.438,4.258,0.861,5.157,3,2.51,1.112,2.16,0,0.022
118.92,4.308,0.872,5.03,3,2.463,1.132,2.378,0,0.009
126.812,4.36,0.867,5.604,3,2.479,1.117,2.132,0,0.016
120.026,4.457,0.857,5.281,2,2.528,1.105,2.551,1,0.016
125.702,4.385,0.889,5.005,3,2.494,1.148,2.65,0,0.015
129.738,4.441,0.888,5.272,3,2.572,1.112,2.475,0,0.026
123.209,4.297,0.89,5.641,3,2.56,1.124,2.319,0,0.012
129.656,4.444,0.897,5.604,4,2.602,1.164,2.524,0,0.008
127.542,4.555,0.904,5.067,3,2.597,1.155,2.595,1,0.023
127.684,4.555,0.903,5.288,3,2.629,1.218,2.558,0,0.016
123.658,4.546,0.91,4.981,4,2.616,1.203,2.489,1,0.016
125.81,4.553,0.921,5.471,3,2.655,1.173,2.432,0,0.029
125.759,4.473,0.918,5.38,3,2.687,1.187,2.523,0,0.021
125.243,4.518,0.905,5.407,3,2.579,1.179,2.344,0,0.021
125.066,4.589,0.906,5.096,3,2.638,1.172,2.401,0,0.01
127.383,4.412,0.91,5.529,4,2.734,1.143,2.573,0,0.025
124.38,4.582,0.935,5.007,4,2.708,1.162,2.553,0,0.014
124.615,4.561,0.91,5.583,3,2.652,1.199,2.548,0,0.023
125.483,4.569,0.914,5.638,3,2.574,1.144,2.563,0,0.026
127.573,4.471,0.921,5.146,3,2.736,1.129,2.548,0,0.02
121.086,4.596,0.888,5.004,3,2.674,1.177,2.56,0,0.018
122.391,4.478,0.91,5.235,4,2.607,1.152,2.468,0,0.022
126.046,4.621,0.897,5.232,3,2.623,1.177,2.375,0,0.023
124.554,4.426,0.907,5.286,3,2.661,1.183,2.407,0,0.02
123.95,4.297,0.907,5.243,4,2.548,1.181,2.369,0,0.01
123.21,4.405,0.885,5.316,3,2.627,1.135,2.313,0,0.022
