packet_rate,byte_entropy,protocol_tcp_ratio,dns_query_freq,unique_dest_ips,avg_connection_duration,port_entropy,bandwidth_mbps,new_ext_conns,tcp_flag_anomaly
118.2,4.21,0.87,5.1,3,2.48,1.12,2.3,0,0.02
122.5,4.35,0.85,4.8,3,2.51,1.09,2.4,0,0.01
115.8,4.18,0.88,5.5,4,2.45,1.15,2.2,0,0.02
125.1,4.42,0.84,5.0,3,2.60,1.08,2.5,0,0.03
119.7,4.29,0.86,4.7,3,2.53,1.11,2.3,1,0.02
121.3,4.33,0.87,5.2,3,2.47,1.13,2.4,0,0.01
117.6,4.25,0.86,5.1,4,2.55,1.10,2.3,0,0.02
123.8,4.38,0.85,4.9,3,2.50,1.09,2.5,0,0.02
116.4,4.22,0.87,5.3,3,2.49,1.14,2.2,0,0.01
120.9,4.31,0.86,5.0,3,2.52,1.11,2.4,0,0.02
